varname,r_file,functions
age,recode.R,recode_raw_age;recode_age
female,recode.R,recode_female
emp,recode.R,recode_emp
basicwgt,recode.R,recode_basicwgt
orgwgt,recode.R,recode_orgwgt
wage_noadj,recode.R,recode_wage_noadj
weekpay_noadj,recode.R,recode_weekpay_noadj
wage,wage.R,add_wage
weekpay,topcode.R,add_weekpay
hoursu1i,hoursu1i.R,WHOLE_FILE
educ,demographics.R,recode_educ
wbho,demographics.R,recode_wbho
citistat,demographics.R,recode_citistat
married,demographics.R,recode_married
statefips,demographics.R,recode_statefips
unmem,demographics.R,recode_unmem
uncov,demographics.R,recode_uncov
union,demographics.R,recode_union
pubsec,demographics.R,recode_pubsec
mind16,demographics.R,recode_mind16
statecensus,geography.R,build_state_geocodes
division,geography.R,build_state_geocodes
region,geography.R,build_state_geocodes
countyfips,geography.R,recode_countyfips
cbsafips,geography.R,recode_cbsafips
cbsasize,geography.R,recode_cbsasize
metstat,geography.R,recode_metstat
