era,year_start,year_end,source_var,code,states,statefips,grouped,notes
none,1962,1962,state,,,,0,state variable entirely missing (100% missing) - no state geography released this year
A,1963,1967,state,0,,,0,invalid/missing
A,1963,1967,state,1,ME,23,0,
A,1963,1967,state,2,MA,25,0,
A,1963,1967,state,3,NH,33,0,
A,1963,1967,state,4,VT,50,0,
A,1963,1967,state,5,RI,44,0,
A,1963,1967,state,6,CT,9,0,
A,1963,1967,state,10,NY,36,0,
A,1963,1967,state,11,NJ,34,0,
A,1963,1967,state,13,PA,42,0,
A,1963,1967,state,22,WI,55,0,
A,1963,1967,state,23,IN,18,0,
A,1963,1967,state,24,OH,39,0,
A,1963,1967,state,25,IL,17,0,
A,1963,1967,state,26,MI,26,0,
A,1963,1967,state,31,MN,27,0,
A,1963,1967,state,32,IA,19,0,
A,1963,1967,state,33,MO,29,0,
A,1963,1967,state,34,ND,38,0,
A,1963,1967,state,35,SD,46,0,
A,1963,1967,state,36,NE,31,0,
A,1963,1967,state,37,KS,20,0,
A,1963,1967,state,41,DE,10,0,
A,1963,1967,state,42,MD,24,0,
A,1963,1967,state,43,DC,11,0,
A,1963,1967,state,44,VA,51,0,
A,1963,1967,state,45,WV,54,0,
A,1963,1967,state,46,SC,45,0,
A,1963,1967,state,47,NC,37,0,
A,1963,1967,state,48,GA,13,0,
A,1963,1967,state,49,FL,12,0,
A,1963,1967,state,51,KY,21,0,
A,1963,1967,state,52,TN,47,0,
A,1963,1967,state,53,AL,1,0,
A,1963,1967,state,54,MS,28,0,
A,1963,1967,state,65,AR,5,0,
A,1963,1967,state,66,LA,22,0,
A,1963,1967,state,67,OK,40,0,
A,1963,1967,state,68,TX,48,0,
A,1963,1967,state,71,MT,30,0,
A,1963,1967,state,72,ID,16,0,
A,1963,1967,state,73,WY,56,0,
A,1963,1967,state,74,CO,8,0,
A,1963,1967,state,75,NM,35,0,
A,1963,1967,state,76,AZ,4,0,
A,1963,1967,state,77,UT,49,0,
A,1963,1967,state,78,NV,32,0,
A,1963,1967,state,85,AK,2,0,
A,1963,1967,state,86,HI,15,0,
A,1963,1967,state,87,WA,53,0,
A,1963,1967,state,88,OR,41,0,
A,1963,1967,state,89,CA,6,0,
B1,1968,1972,state,0,,,0,invalid/missing
B1,1968,1972,state,11,CT,9,0,
B1,1968,1972,state,21,NY,36,0,
B1,1968,1972,state,22,NJ,34,0,
B1,1968,1972,state,23,PA,42,0,
B1,1968,1972,state,31,OH,39,0,
B1,1968,1972,state,32,IN,18,0,
B1,1968,1972,state,33,IL,17,0,
B1,1968,1972,state,43,MO,29,0,
B1,1968,1972,state,51,DC,11,0,
B1,1968,1972,state,52,MD,24,0,
B1,1968,1972,state,53,WV,54,0,
B1,1968,1972,state,54,GA,13,0,
B1,1968,1972,state,55,FL,12,0,
B1,1968,1972,state,61,KY,21,0,
B1,1968,1972,state,62,TN,47,0,
B1,1968,1972,state,71,LA,22,0,
B1,1968,1972,state,72,TX,48,0,
B1,1968,1972,state,91,OR,41,0,
B1,1968,1972,state,92,CA,6,0,
B1,1968,1972,state,19,ME NH VT RI MA,,1,"label text: ""Othr NE"""
B1,1968,1972,state,39,MI WI,,1,
B1,1968,1972,state,41,IA MN,,1,
B1,1968,1972,state,49,ND SD NE KS,,1,"label text: ""NCentral"""
B1,1968,1972,state,57,NC SC,,1,
B1,1968,1972,state,59,DE VA,,1,
B1,1968,1972,state,69,AL MS,,1,
B1,1968,1972,state,79,AR OK,,1,
B1,1968,1972,state,81,AZ CO NM,,1,
B1,1968,1972,state,89,MT ID WY UT NV,,1,"label text: ""Othr NW"""
B1,1968,1972,state,99,AK WA HI,,1,
B2,1973,1976,state,0,,,0,invalid/missing
B2,1973,1976,state,14,MA,25,0,
B2,1973,1976,state,16,CT,9,0,
B2,1973,1976,state,21,NY,36,0,
B2,1973,1976,state,22,NJ,34,0,
B2,1973,1976,state,23,PA,42,0,
B2,1973,1976,state,31,OH,39,0,
B2,1973,1976,state,32,IN,18,0,
B2,1973,1976,state,33,IL,17,0,
B2,1973,1976,state,53,DC,11,0,
B2,1973,1976,state,56,NC,37,0,
B2,1973,1976,state,59,FL,12,0,
B2,1973,1976,state,72,TX,48,0,
B2,1973,1976,state,92,CA,6,0,
B2,1973,1976,state,19,ME NH VT RI,,1,"label text: ""Othr NE"""
B2,1973,1976,state,39,MI WI,,1,
B2,1973,1976,state,49,MN IA MO ND SD NE KS,,1,"label text: ""NCentral"""
B2,1973,1976,state,57,DE MD VA WV,,1,"label text: ""MidAtlan"" - membership INFERRED by elimination, not literal in label; verify against region/division before relying on it"
B2,1973,1976,state,58,SC GA,,1,
B2,1973,1976,state,67,KY TN,,1,
B2,1973,1976,state,69,AL MS,,1,
B2,1973,1976,state,79,AR LA OK,,1,
B2,1973,1976,state,89,MT ID WY CO NM AZ UT NV,,1,"label text: ""West"""
B2,1973,1976,state,99,AK WA OR HI,,1,"label text: ""WstCoast"""
C,1977,2000,state (1977-1997) / hg_st60 (1998-2000),,,,0,"Standard 1960-census 2-digit code, byte-identical 1977-2000. Full crosswalk already exists in suppdata/state_geocodes.csv as the statecensus column - match on statecensus, not statefips."
modern,2001,,gestfips,,,,0,Already modern FIPS; already handled correctly in generate_statefips.do
