year,n_r_rows,n_stata_rows,n_only_r,n_only_stata,variable,n_compared,n_missingness_mismatch,n_value_mismatch,pct_mismatch
2000,1464862,1464862,0,0,age,1464862,0,0,0
2000,1464862,1464862,0,0,female,1464862,0,0,0
2000,1464862,1464862,0,0,emp,1464862,0,0,0
2000,1464862,1464862,0,0,basicwgt,1464862,0,0,0
2001,1565482,1565482,0,0,age,1565482,0,0,0
2001,1565482,1565482,0,0,female,1565482,0,0,0
2001,1565482,1565482,0,0,emp,1565482,0,0,0
2001,1565482,1565482,0,0,basicwgt,1565482,0,0,0
2002,1708443,1708443,0,0,age,1708443,0,0,0
2002,1708443,1708443,0,0,female,1708443,0,0,0
2002,1708443,1708443,0,0,emp,1708443,0,0,0
2002,1708443,1708443,0,0,basicwgt,1708443,0,0,0
2003,1690687,1690687,0,0,age,1690687,0,0,0
2003,1690687,1690687,0,0,female,1690687,0,0,0
2003,1690687,1690687,0,0,emp,1690687,0,0,0
2003,1690687,1690687,0,0,basicwgt,1690687,0,0,0
2004,1661993,1661993,0,0,age,1661993,0,0,0
2004,1661993,1661993,0,0,female,1661993,0,0,0
2004,1661993,1661993,0,0,emp,1661993,0,0,0
2004,1661993,1661993,0,0,basicwgt,1661993,0,0,0
2005,1650440,1650440,0,0,age,1650440,0,0,0
2005,1650440,1650440,0,0,female,1650440,0,0,0
2005,1650440,1650440,0,0,emp,1650440,0,0,0
2005,1650440,1650440,0,0,basicwgt,1650440,0,0,0
2006,1634187,1634187,0,0,age,1634187,0,0,0
2006,1634187,1634187,0,0,female,1634187,0,0,0
2006,1634187,1634187,0,0,emp,1634187,0,0,0
2006,1634187,1634187,0,0,basicwgt,1634187,0,0,0
2007,1617134,1617134,0,0,age,1617134,0,0,0
2007,1617134,1617134,0,0,female,1617134,0,0,0
2007,1617134,1617134,0,0,emp,1617134,0,0,0
2007,1617134,1617134,0,0,basicwgt,1617134,0,0,0
2008,1606229,1606229,0,0,age,1606229,0,0,0
2008,1606229,1606229,0,0,female,1606229,0,0,0
2008,1606229,1606229,0,0,emp,1606229,0,0,0
2008,1606229,1606229,0,0,basicwgt,1606229,0,0,0
2009,1622456,1622456,0,0,age,1622456,0,0,0
2009,1622456,1622456,0,0,female,1622456,0,0,0
2009,1622456,1622456,0,0,emp,1622456,0,0,0
2009,1622456,1622456,0,0,basicwgt,1622456,0,0,0
2010,1626591,1626591,0,0,age,1626591,0,0,0
2010,1626591,1626591,0,0,female,1626591,0,0,0
2010,1626591,1626591,0,0,emp,1626591,0,0,0
2010,1626591,1626591,0,0,basicwgt,1626591,0,0,0
2011,1605399,1605399,0,0,age,1605399,0,0,0
2011,1605399,1605399,0,0,female,1605399,0,0,0
2011,1605399,1605399,0,0,emp,1605399,0,0,0
2011,1605399,1605399,0,0,basicwgt,1605399,0,0,0
2012,1593508,1593508,0,0,age,1593508,0,0,0
2012,1593508,1593508,0,0,female,1593508,0,0,0
2012,1593508,1593508,0,0,emp,1593508,0,0,0
2012,1593508,1593508,0,0,basicwgt,1593508,0,0,0
2013,1581457,1581457,0,0,age,1581457,0,0,0
2013,1581457,1581457,0,0,female,1581457,0,0,0
2013,1581457,1581457,0,0,emp,1581457,0,0,0
2013,1581457,1581457,0,0,basicwgt,1581457,0,0,0
2014,1588192,1588192,0,0,age,1588192,0,0,0
2014,1588192,1588192,0,0,female,1588192,0,0,0
2014,1588192,1588192,0,0,emp,1588192,0,0,0
2014,1588192,1588192,0,0,basicwgt,1588192,0,0,0
2015,1566906,1566906,0,0,age,1566906,0,0,0
2015,1566906,1566906,0,0,female,1566906,0,0,0
2015,1566906,1566906,0,0,emp,1566906,0,0,0
2015,1566906,1566906,0,0,basicwgt,1566906,0,0,0
2016,1558860,1558860,0,0,age,1558860,0,0,0
2016,1558860,1558860,0,0,female,1558860,0,0,0
2016,1558860,1558860,0,0,emp,1558860,0,0,0
2016,1558860,1558860,0,0,basicwgt,1558860,0,0,0
2017,1530207,1530207,0,0,age,1530207,0,0,0
2017,1530207,1530207,0,0,female,1530207,0,0,0
2017,1530207,1530207,0,0,emp,1530207,0,0,0
2017,1530207,1530207,0,0,basicwgt,1530207,0,0,0
2018,1480164,1480164,0,0,age,1480164,0,0,0
2018,1480164,1480164,0,0,female,1480164,0,0,0
2018,1480164,1480164,0,0,emp,1480164,0,0,0
2018,1480164,1480164,0,0,basicwgt,1480164,0,0,0
2019,1424063,1424063,0,0,age,1424063,0,0,0
2019,1424063,1424063,0,0,female,1424063,0,0,0
2019,1424063,1424063,0,0,emp,1424063,0,0,0
2019,1424063,1424063,0,0,basicwgt,1424063,0,0,0
2020,1273475,1273475,0,0,age,1273475,0,0,0
2020,1273475,1273475,0,0,female,1273475,0,0,0
2020,1273475,1273475,0,0,emp,1273475,0,0,0
2020,1273475,1273475,0,0,basicwgt,1273475,0,0,0
2021,1280078,1280078,0,0,age,1280078,0,0,0
2021,1280078,1280078,0,0,female,1280078,0,0,0
2021,1280078,1280078,0,0,emp,1280078,0,0,0
2021,1280078,1280078,0,0,basicwgt,1280078,0,0,0
2022,1222903,1222903,0,0,age,1222903,0,0,0
2022,1222903,1222903,0,0,female,1222903,0,0,0
2022,1222903,1222903,0,0,emp,1222903,0,0,0
2022,1222903,1222903,0,0,basicwgt,1222903,0,0,0
2023,1195088,1195088,0,0,age,1195088,0,0,0
2023,1195088,1195088,0,0,female,1195088,0,0,0
2023,1195088,1195088,0,0,emp,1195088,0,0,0
2023,1195088,1195088,0,0,basicwgt,1195088,0,0,0
2024,1187356,1187356,0,0,age,1187356,0,0,0
2024,1187356,1187356,0,0,female,1187356,0,0,0
2024,1187356,1187356,0,0,emp,1187356,0,0,0
2024,1187356,1187356,0,0,basicwgt,1187356,0,0,0
