year,cpiurs_extended
1913,16.6
1914,16.8
1915,17.0
1916,18.3
1917,21.5
1918,25.4
1919,29.1
1920,33.6
1921,30.1
1922,28.2
1923,28.7
1924,28.7
1925,29.4
1926,29.8
1927,29.2
1928,28.7
1929,28.7
1930,28.1
1931,25.6
1932,23.0
1933,21.9
1934,22.5
1935,23.0
1936,23.4
1937,24.2
1938,23.7
1939,23.4
1940,23.5
1941,24.7
1942,27.4
1943,29.1
1944,29.6
1945,30.3
1946,32.8
1947,37.5
1948,40.5
1949,40.0
1950,40.5
1951,43.7
1952,44.5
1953,44.9
1954,45.2
1955,45.0
1956,45.7
1957,47.2
1958,48.6
1959,48.9
1960,49.8
1961,50.3
1962,50.8
1963,51.4
1964,52.1
1965,53.0
1966,54.5
1967,56.1
1968,58.3
1969,60.9
1970,63.9
1971,66.7
1972,68.7
1973,73.0
1974,80.3
1975,86.9
1976,91.9
1977,97.7
1978,104.4
1979,114.3
1980,127.1
1981,139.1
1982,147.5
1983,153.8
1984,160.2
1985,165.6
1986,168.4
1987,174.1
1988,180.5
1989,188.3
1990,197.6
1991,204.8
1992,209.9
1993,215.2
1994,219.7
1995,225
1996,231
1997,236
1998,239.2
1999,244.2
2000,252.5
2001,259.7
2002,263.8
2003,269.8
2004,277
2005,286.4
2006,295.7
2007,304.1
2008,315.8
2009,314.7
2010,319.8
2011,330
2012,336.9
2013,342
2014,347.7
2015,348.3
2016,352.8
2017,360.3
2018,369.1
2019,375.8
2020,380.8
2021,399.2
2022,431.5
2023,449.3
2024,462.6
